848214,2018-05-26 19:55:47+01,0,0,0,0,0,0,1123,13677,0,0,32,,24
848214,2018-05-26 19:55:47+01,0,0,0,0,0,0,1123,13677,0,0,32,,24
848214,2018-05-26 19:55:47+01,0,0,0,0,0,0,1123,13677,0,0,32,,24
848211,2018-05-26 19:55:54+01,0,0,0,0,0,0,1619,13181,0,0,0,,21
848212,2018-05-26 19:55:54+01,0,0,0,0,0,0,1596,13204,0,0,0,,20
848213,2018-05-26 19:55:54+01,0,0,0,0,0,0,128,14672,0,0,0,,19
848217,2018-05-26 19:56:17+01,0,0,0,0,0,0,1123,13677,0,0,32,,24
848218,2018-05-26 19:56:17+01,0,0,0,0,0,0,3380,11420,0,0,32,,23
848219,2018-05-26 19:56:17+01,0,0,0,0,0,0,1580,13220,0,0,32,,22
848220,2018-05-26 19:56:24+01,0,0,0,0,0,0,1619,13181,0,0,0,,21
848221,2018-05-26 19:56:24+01,0,0,0,0,0,0,1596,13204,0,0,0,,20
848222,2018-05-26 19:56:24+01,0,0,0,0,0,0,128,14672,0,0,0,,19
848223,2018-05-26 19:56:47+01,0,0,0,0,1,64,1187,13613,0,0,32,,24
848224,2018-05-26 19:56:47+01,0,0,0,0,1,64,3444,11356,0,0,32,,23
848225,2018-05-26 19:56:47+01,0,0,0,0,0,0,1580,13220,0,0,32,,22
848226,2018-05-26 19:56:54+01,0,0,0,0,1,64,1683,13117,0,0,0,,21
848227,2018-05-26 19:56:54+01,0,0,0,0,3,192,1788,13012,0,0,0,,20
848228,2018-05-26 19:56:54+01,0,0,0,0,2,128,256,14544,0,0,0,,19
848229,2018-05-26 19:57:17+01,0,0,0,0,1,64,1187,13613,0,0,32,,24
848230,2018-05-26 19:57:17+01,0,0,0,0,1,64,3444,11356,0,0,32,,23
848231,2018-05-26 19:57:17+01,0,0,0,0,1,64,1644,13156,0,0,32,,22
848232,2018-05-26 19:57:24+01,0,0,0,0,1,64,1683,13117,0,0,0,,21
848233,2018-05-26 19:57:24+01,0,0,0,0,3,192,1788,13012,0,0,0,,20
848234,2018-05-26 19:57:24+01,0,0,0,0,2,128,256,14544,0,0,0,,19
848235,2018-05-26 19:57:47+01,0,0,0,0,1,64,1187,13613,0,0,32,,24
848236,2018-05-26 19:57:47+01,0,0,0,0,1,64,3444,11356,0,0,32,,23
848237,2018-05-26 19:57:47+01,0,0,0,0,1,64,1644,13156,0,0,32,,22
